id,input_text,response_text,scenario_type,complexity_level
1,"Merhaba, fatura bilgilerimi öğrenmek istiyorum. Müşteri numaram 12345.","Merhaba! Fatura bilgilerinizi kontrol ediyorum. Güncel faturanız 89.50 TL ve son ödeme tarihi 15 Mart 2024. Faturada Mega İnternet paketiniz bulunuyor. Başka bir konuda yardımcı olabilir miyim?","billing","basic"
2,"İnternet hızım çok yavaş, ne yapabilirim?","İnternet hızınızı test edelim. Önce hız testi yapalım, sonra gerekirse arıza kaydı oluşturabilirim. Hız testi başlatıyorum...","technical_support","medium"
3,"Paketimi değiştirmek istiyorum. Hangi paketler mevcut?","Mevcut paketlerimizi kontrol ediyorum. Öğrenci Dostu Tarife, Süper Konuşma ve Mega İnternet paketlerimiz var. Hangi pakete geçmek istiyorsunuz?","package_management","basic"
4,"Faturamı ödemek istiyorum ama kredi kartım yok.","Farklı ödeme seçeneklerimiz mevcut: banka havalesi, dijital cüzdan veya nakit ödeme. Hangi yöntemi tercih edersiniz?","billing","basic"
5,"Roaming hizmetini aktif etmek istiyorum.","Roaming hizmetinizi aktif ediyorum. Günlük 25 TL ücret alınacak ve günlük 1GB veri paketiniz olacak. Onaylıyor musunuz?","package_management","medium"
6,"Hat dondurma işlemi yapmak istiyorum.","Hat dondurma işlemi için nedeninizi öğrenmem gerekiyor. Geçici durdurma için 90 güne kadar dondurma yapabiliriz. Nedeniniz nedir?","account_management","medium"
7,"Arıza kaydım var, durumunu öğrenmek istiyorum.","Arıza kaydınızı kontrol ediyorum. TKT-2024-001234 numaralı kaydınız inceleme aşamasında. Tahmini çözüm süresi 24 saat.","technical_support","basic"
8,"Otomatik ödeme kurmak istiyorum.","Otomatik ödeme kurulumu için kredi kartı bilgilerinizi almam gerekiyor. Hangi kartı kullanmak istiyorsunuz?","billing","medium"
9,"5G kapsama alanında mıyım?","5G kapsama alanınızı kontrol ediyorum. Bulunduğunuz konumda 5G mevcut ve sinyal gücü %85. Tahmini hız 750 Mbps.","advanced_services","advanced"
10,"Kültürel tercihlerimi güncellemek istiyorum.","Kültürel tercihlerinizi güncelleyebilirim. Hangi konularda değişiklik yapmak istiyorsunuz? İletişim tarzı, dil tercihi veya erişilebilirlik ihtiyaçları?","advanced_services","advanced"
11,"Geçmiş faturalarımı görmek istiyorum.","Geçmiş faturalarınızı kontrol ediyorum. Son 12 ayın faturalarını listeliyorum. Hangi dönemi detaylı görmek istiyorsunuz?","billing","basic"
12,"İnternet kotam bitti, ne yapabilirim?","İnternet kotanızı kontrol ediyorum. Ek paket satın alabilir veya hızınızı düşürebiliriz. Hangi seçeneği tercih edersiniz?","package_management","medium"
13,"Telefon numaramı değiştirmek istiyorum.","Numara değişikliği için yeni numara seçimi yapabiliriz. Hangi bölgeden numara istiyorsunuz?","account_management","medium"
14,"Acil durum servisi aktif etmek istiyorum.","Acil durum servisinizi aktif ediyorum. Arama ve veri limitleri kaldırıldı. 24 saat geçerli olacak.","advanced_services","advanced"
15,"Kalan dakikamı öğrenmek istiyorum.","Kalan dakikanızı kontrol ediyorum. 250 dakika kalmış. Dönem sonu 15 gün kaldı.","package_management","basic"
16,"Fatura ödememi yaptım ama sistemde görünmüyor.","Ödemenizi kontrol ediyorum. Bazen 24-48 saat sürebilir. İşlem numaranızı verebilir misiniz?","billing","medium"
17,"İnternet bağlantım kesiliyor.","Bağlantı sorununuzu kontrol ediyorum. Modem reset'i yapalım. Sorun devam ederse teknik ekip gönderebiliriz.","technical_support","medium"
18,"Paket fiyatlarında indirim var mı?","Mevcut kampanyaları kontrol ediyorum. Öğrenci paketi %20 indirimli. Yaşınız ve durumunuz nedir?","package_management","basic"
19,"Hat transfer işlemi yapmak istiyorum.","Hat transfer işlemi için gerekli belgeleri kontrol ediyorum. Kimlik ve sözleşme gerekli.","account_management","advanced"
20,"SMS gönderemiyorum.","SMS sorununuzu kontrol ediyorum. Kalan SMS kotanız var. Teknik bir sorun olabilir.","technical_support","basic"
21,"Fatura tarihini değiştirmek istiyorum.","Fatura tarihini değiştirebiliriz. Hangi tarihi tercih edersiniz? 1-28 arası seçebilirsiniz.","billing","medium"
22,"İnternet hızım yavaşladı.","Hız sorununuzu test ediyorum. Bölgesel bir sorun olabilir. Hız testi yapalım.","technical_support","medium"
23,"Paket iptal etmek istiyorum.","Paket iptali için sözleşme şartlarını kontrol ediyorum. İptal ücreti olabilir.","package_management","advanced"
24,"Fatura ödeme planı yapmak istiyorum.","Taksitli ödeme planı oluşturabiliriz. Kaç taksit istiyorsunuz?","billing","medium"
25,"Hat çalındı, ne yapmalıyım?","Hemen hat dondurma işlemi yapıyorum. Polis raporu gerekli. Yeni hat açabiliriz.","account_management","advanced" 
