kategori,metin
İnternet,"İnternet hızım sürekli düşüyor ve bağlantı kopuyor, müşteri hizmetlerine ulaşamıyorum."
Fatura,"Bu ayki faturam beklediğimden çok yüksek geldi, detayları hakkında bilgi almak istiyorum."
Mobil,"Mobil hattımda sinyal sorunu yaşıyorum, özellikle evde hiç çekmiyor."
İptal,"Aboneliğimi iptal etmek istiyorum ancak web sitesindeki adımlar çalışmıyor."
İnternet,"Yeni taşındığım adrese internet altyapısı olmadığını söylüyorlar, ne yapmalıyım?"
Fatura,"Otomatik ödeme talimatım olmasına rağmen faturam ödenmemiş ve gecikme faizi uygulanmış."
Mobil,"Yurt dışı paketim hakkında bilgi almak ve hattımı yurt dışı kullanımına açtırmak istiyorum."
İptal,"Taahhüdümün bitmesine ne kadar kaldığını ve cayma bedelinin ne kadar olduğunu öğrenmek istiyorum."
İnternet,"Modemim arızalandı, teknik servis talebi oluşturmak için yardımınıza ihtiyacım var."
Fatura,"Faturamda anlamadığım bir 'ek hizmet bedeli' var, bu nedir?" 
